label,sample
artist_name,Arthur is ADJ
artist_name,Aileen Smith
artist_name,CassidyCrayon
artist_name,Charles Brown
artist_name,Ed Sheeran
artist_name,Sesame Street
artist_name,cowboyfromrockcity
artist_name,JohnnyCashShow
artist_name,Ryan Adams
artist_name,Jason Walker
artist_name,Shiga
artist_name,thenoname365
artist_name,Alvin
song_name,You Make Me Feel So Young
song_name,ZZ Top - Rough Boy
song_name,Knocking on Heaven's Door
song_name,Tear Stained Letter
song_name,Kanye West - Passionfruit
song_name,Man in Black
song_name,The Ways Of A Woman In Love - Johnny Cash
song_name,The Story Of A Broken Heart
song_name,Johnny Cash - W. Lee O Daniel
song_name,Wuant/Windoh/Kazzio/Dark-
song_name,Bird On A Wire
song_name,Kanye West - Nights
song_name,You Forgot All The Words
song_name,Ya Better Stop
song_name,First Cut Is The Deepest
song_name,Drive On
song_name,Fly Me To The Moon
song_name,Can't Help Falling In Love
song_name,Jingle Bells
song_name,Smiling Bill McCall
song_name,The Highwaymen  It Is What It Is
song_name,High Hopes)
song_name,Johnny Cash - That's All Over lyrics
song_name,Feel Good Inc.
song_name,ZZ Top 'A Fool For Your Stockings'
song_name,ZZ Top - Stages
song_name,Treat Her Right
song_name,Johnny Cash-Give My Love To Rose
song_name,Thunderstruck
song_name,Fun fact 4 fortnite
song_name,Só Tinha De Ser Com Você
song_name,Chartreuse
song_name,Sharp Dressed Man
song_name,Frank Sinatra - Old Man River
song_name,Johnny Cash - I Want To Go Home
song_name,Johnny cash   down the street to 301 0001
song_name,The Highwaymen The Devils Right Hand
song_name,Astrud Gilberto - Agua De Beber
song_name,Bandana
song_name,Fun fact 5 red light green light
song_name,Grenade
song_name,Santa Baby
song_name,GLEN SHERLEY - LOOKING BACK IN ANGER 1971
song_name,I Thought About You
song_name,Katy Too
song_name,Johnny Cash - The Blues Keep Getting Bluer lyrics
song_name,BMO sings Rises the Moon
song_name,The Lady Is a Tramp
song_name,Legend of John Henry's Hammer
song_name,ZZ Top - Jesus Just Left Chicago
song_name,Presidente Bossa Nova
song_name,Please- Please- Please- Let Me Get What I Want
song_name,Get Happy
song_name,Cheek to Cheek
song_name,When I Stop Loving You
song_name,Let It Go)
song_name,If You Are But A Dream
song_name,Emmylou Harris- Mary Chapin Carpenter- Sheryl Crow & Marty Stuart - Flesh and Blood
song_name,Love Is Here To Stay
song_name,Johnny Cash - Thanksgiving / I Thank You
song_name,There Ain't No Good Chain Gang
song_name,A Holly Jolly Christmas
song_name,Nothing But The Best
song_name,Let Me Down Easy
song_name,Candle In The Wind
song_name,Roughneck
song_name,Don't take your guns to town lyrics
song_name,Johnny Cash - The man on the hill
song_name,Johnny Cash - I'm Alright Now
song_name,I Love You Because
song_name,Johnny Cash at San Quentin 1969
song_name,Tennessee Flat Top Box
song_name,Sinatra sings Jump Up- Super Star
song_name,The Lady Is A Tramp Live
song_name,Jacob Green
song_name,Run softly-blue river with lyrics
song_name,Johnny Cash - Little Magic Glasses
song_name,Half As Lovely
song_name,Me and Bobby McGee
song_name,South Of The Border
song_name,Johnny Cash - The Baron - 04/10 A Ceiling-Four Walls And A Floor
song_name,Man in black with lyrics
song_name,The Ways of a Woman in Love
song_name,In Them Old Cottonfileds Back Home
song_name,Wild Horses
song_name,One Piece at a Time
song_name,Safira)
song_name,Next in Line
song_name,I've Had My Moments
song_name,Michael Jackson ft. Bruno Mars - Treasure
song_name,ZZ Top - Just Got Back From Baby's
song_name,Downtown
song_name,Bonanza !
song_name,Folsom Prison Blues
song_name,Tall Man
song_name,Just Got Paid
song_name,Lead My Father
song_name,I Call Him
song_name,Manic Mechanic
song_name,Johnny Cash "Man In Black"
song_name,Johnny Cash and June Carter - Jackson with lyrics
song_name,Ricfazeres - Jump Up- Super Star
song_name,Christmas Is Coming
song_name,ZZ Top - Over You
song_name,Busted
song_name,I FEEL BETTER ALL OVER by JOHNNY CASH
song_name,Ballad of a Teenage Queen
